lemma	pos	corpus_frequency	spoken_frequency	written_frequency	literature	meb	saha	tubitak	video	class	subclass	num_docs	mps	cd	pmw	zipf	length	sc
yaratıcı	NOUN	180	21	159	59	57	1	43	20	History, Politics & Religion	religion	87	28	0.02821011673	21.87809332	4.34241554	8	4
yaratıcılık	NOUN	32	5	27	1	2	2	24	3	Emotions & Mental Processes	intelligence and reasoning	27	10	0.008754863813	3.889438812	3.603250905	11	5
yaratık	NOUN	412	157	255	227	8	0	20	157	Nature & Living Things	animals	135	25	0.04377431907	50.07652471	4.700687017	7	3
yaratılmak	VERB	35	2	33	30	2	0	1	2	History, Politics & Religion	religion	25	20	0.008106355383	4.254073701	3.641039466	10	4
yaratılış	NOUN	11	3	8	8	0	0	0	3	History, Politics & Religion	religion	7	8	0.002269779507	1.336994592	3.163918211	9	4
yarayışlı	ADJ	1	0	1	0	0	0	1	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	9	4
yaraşmak	VERB	26	4	22	20	2	0	0	4	Other	other	19	4	0.006160830091	3.160169035	3.51610073	8	3
yarbay	NOUN	36	1	35	27	6	0	2	1	Work & Economy	occupations	7	3	0.002269779507	4.375618664	3.652938689	6	2
yarbaylık	NOUN	2	0	2	2	0	0	0	0	Work & Economy	occupations	2	1	0.0006485084306	0.2430899258	2.56185822	9	3
yarda	NOUN	1	0	1	0	0	0	1	0	Other	other	1	1	0.0003242542153	0.1215449629	2.385766961	5	2
yardak	NOUN	2	1	1	0	0	0	1	1	Other	other	2	1	0.0006485084306	0.2430899258	2.56185822	6	2
yardakçı	NOUN	3	1	2	2	0	0	0	1	Personality, Values & Behavior	morality	2	2	0.0006485084306	0.3646348887	2.686796957	8	3
yardım	NOUN	9029	4426	4603	2084	1369	198	1150	4228	Personality, Values & Behavior	helpfulness	1756	70	0.5693904021	1097.42947	6.040424716	6	2
yardımcı	ADJ	99	28	71	26	18	0	27	28	Personality, Values & Behavior	helpfulness	75	7	0.02431906615	12.03295133	4.084736965	8	3
yardımcı	NOUN	2015	618	1397	557	272	75	568	543	Personality, Values & Behavior	helpfulness	826	53	0.2678339818	244.9131002	5.389227493	8	3
yardımcılık	NOUN	1	1	0	0	0	0	0	1	Personality, Values & Behavior	helpfulness	1	1	0.0003242542153	0.1215449629	2.385766961	11	4
yardımlaşma	NOUN	9	2	7	2	4	0	1	2	Personality, Values & Behavior	helpfulness	8	4	0.002594033722	1.093904666	3.084736965	11	4
yardımlaşmak	VERB	173	22	151	22	117	2	12	20	Personality, Values & Behavior	helpfulness	76	26	0.02464332036	21.02727858	4.325286214	12	4
yardımsever	ADJ	143	48	95	38	51	13	6	35	Personality, Values & Behavior	helpfulness	83	16	0.02691309987	17.38092969	4.243099457	11	4
yardımseverlik	NOUN	4	0	4	3	1	0	0	0	Personality, Values & Behavior	helpfulness	4	2	0.001297016861	0.4861798515	2.78370697	14	5
yardırmak	VERB	6	5	1	1	0	0	0	5	Emotions & Mental Processes	action	5	1	0.001621271077	0.7292697773	2.929835005	9	3
yaren	NOUN	26	3	23	3	8	0	12	3	People & Relationships	friendship	23	4	0.007457846952	3.160169035	3.51610073	5	2
yargı	NOUN	54	5	49	14	23	0	12	5	Emotions & Mental Processes	intelligence and reasoning	30	21	0.009727626459	6.563427996	3.825099655	5	2
yargılamak	VERB	60	41	19	16	3	1	0	40	Other	other	38	34	0.01232166018	7.292697773	3.8700668	10	4
yargılanmak	VERB	1	0	1	1	0	0	0	0	Emotions & Mental Processes	general rules	1	1	0.0003242542153	0.1215449629	2.385766961	11	4
yargılı	ADJ	22	8	14	4	10	0	0	8	Emotions & Mental Processes	general rules	15	4	0.00486381323	2.673989183	3.446464801	7	3
yargıç	NOUN	18	13	5	0	4	0	1	13	Work & Economy	occupations	8	3	0.002594033722	2.187809332	3.363490566	6	2
yarma	NOUN	8	0	8	2	0	0	6	0	Other	other	6	3	0.001945525292	0.9723597031	3.038979475	5	2
yarmak	VERB	732	309	423	225	35	14	163	295	Emotions & Mental Processes	action	490	77	0.1588845655	88.97091283	4.94984094	6	2
yarpuz	NOUN	2	0	2	1	1	0	0	0	Nature & Living Things	plants	2	2	0.0006485084306	0.2430899258	2.56185822	6	2
yarı	ADJ	1748	541	1207	484	228	33	495	508	Time, Numbers & Measurement	units of measurement	704	37	0.2282749676	212.4605951	5.327526775	4	2
yarı	ADV	72	5	67	22	6	0	39	5	Time, Numbers & Measurement	units of measurement	57	3	0.01848249027	8.751237328	3.948059825	4	2
yarı gölge	NOUN	15	0	15	0	0	0	15	0	Education & Language	terms	3	1	0.0009727626459	1.823174443	3.288856948	9	4
yarı iletken	ADJ	9	0	9	0	0	0	9	0	Science & Technology	chemical elements	6	1	0.001945525292	1.093904666	3.084736965	11	5
yarı iletken	NOUN	7	0	7	0	0	0	7	0	Science & Technology	chemical elements	5	4	0.001621271077	0.8508147402	2.987826952	11	5
yarı küre	NOUN	82	0	82	0	0	0	82	0	Earth, Geography & Natural Phenomena	geographical features	24	14	0.007782101167	9.966686957	4.003815058	8	4
