word	imagery	concreteness	syllable_count	char_count	tclex_frequency	tclex_normalized	clc_frequency	clc_normalized	tekcan_frequency	overall_aoa_mean	overall_aoa_sd	child_aoa_mean	child_aoa_sd
hata	3.16	2.9	2	4	1300	158.23	318	72.47	215	2.1	1.11	1.9	0.81
havuz	6.45	6.83	2	5	891	108.45	509	115.99	71	2.29	1.49	1.79	0.77
hayat	2.91	3	2	5	7305	889.12	1994	458.62	1024	2.46	1.45	1.87	0.82
haydut	4.95	5.87	2	6	83	10.1	131	29.85	9	3.35	1.9	2.63	1.24
hayret	2.95	1.9	2	6	363	44.18	234	53.33	60	2.65	1.55	2.17	0.99
hayta	2.46	2.74	2	5	14	1.7	19	4.33	2	4.4	2.18	3.41	1.74
hayvan	6.1	6.49	2	6	8365	1,018.13	2486	566.53	334	1.58	0.68	1.52	0.68
haz	2.93	1.59	1	3	54	6.57	42	9.57	41	4.84	2.19	3.13	1.52
heykel	6.26	6.78	2	6	974	118.55	639	145.62	69	2.67	1.55	2.17	0.98
hizmet	3.46	2.95	2	6	650	79.11	402	91.61	471	3.01	1.81	2.5	1.1
hırçınlık	3.21	2.1	3	9	0	0	16	3.65	6	3.48	1.94	2.41	1.07
hırs	2.83	1.71	1	4	144	17.53	229	52.19	66	3.24	1.83	2.27	0.93
hormon	3.02	5.36	2	6	166	20.2	26	5.93	59	5.03	2.14	3.37	1.55
horultu	4.85	5.36	3	7	19	2.31	50	11.39	2	2.76	1.63	2.23	1.01
hoşnut	3.42	2.19	2	6	50	6.09	221	50.83	6	3.6	1.96	2.74	1.36
hukuk	3.32	3.79	2	5	117	14.24	66	15.04	182	4.33	2.12	2.71	0.99
hüzün	3.41	1.68	2	5	220	26.78	340	77.48	75	3.05	1.84	2.25	1.27
ibadet	4.6	2.67	3	6	335	40.77	38	8.66	73	1.94	1.06	1.82	0.79
içki	6.02	6.44	2	4	68	8.28	175	39.88	141	1.79	0.82	1.75	0.66
ideal	2.52	1.64	3	5	59	7.18	34	7.75	107	2.05	1.13	2.01	0.82
iğde	5.22	6.37	2	4	44	5.36	26	5.93	7	2.73	1.72	2	0.85
ihmal	2.36	2.24	2	5	223	27.14	89	20.28	19	2.54	1.5	2.19	1.08
iklim	3.86	4.59	2	5	908	110.52	110	25.07	58	3.06	1.92	2.27	0.94
ilaç	6.36	6.56	2	4	1066	129.75	544	123,97	233	4.61	2.17	2.95	1.41
ilgi	3.05	2.08	2	4	1945	236.73	1196	272.55	347	3.31	2.01	2.74	1.47
imaj	2.94	2.69	2	4	24	2.92	15	3.42	88	3.2	1.91	2.34	1.1
imza	5.8	6.02	2	4	376	45.76	338	77.03	111	2.86	1.43	2.56	0.94
inanç	3.01	1.47	2	5	335	40.77	279	63.58	208	1.88	0.98	1.77	0.75
incir	6.31	6.88	2	5	245	29.82	187	42.61	27	2.71	1.66	2	0.88
indirim	3.97	4.51	3	7	171	20.81	17	3.87	55	4.78	2.13	2.87	1.35
insanlık	3.13	1.95	3	8	17	2.07	0	0	119	2.98	1.65	2.23	0.88
ip	6.25	6.84	1	2	2579	313.9	1081	246.35	96	2.68	1.48	2.19	0.95
