lemma	pos	frequency	source	class	subclass
baskın yapmak	VERB	66	meb|video|literature	Violence & Conflict	violence
el ele vermek	VERB	66	meb|tubitak|video|literature	Education & Language	idioms
fırsat vermek	VERB	66	meb|tubitak|video|literature	Other	other
gece gece	NOUN	66	meb|video|literature	Time, Numbers & Measurement	time
karşı karşıya gelmek	VERB	66	tubitak|meb|video|literature	Education & Language	idioms
tek sayı	NOUN	66	meb|tubitak|video|literature	Time, Numbers & Measurement	numbers
zor gelmek	VERB	66	saha|tubitak|video|literature	Other	other
bağlantı kurmak	VERB	65	meb|saha|tubitak|video|literature	Other	other
ders olmak	VERB	65	meb|saha|tubitak|video|literature	Other	other
ortaya atmak	VERB	65	meb|tubitak|video|literature	Other	other
rezil etmek	VERB	65	saha|video|literature	Other	other
anı yaşamak	VERB	64	saha|meb|video|tubitak|literature	Emotions & Mental Processes	tendency
can vermek	VERB	64	meb|tubitak|video|literature	Education & Language	idioms
emekli olmak	VERB	64	tubitak|video|literature	Work & Economy	occupations
işaret vermek	VERB	64	meb|tubitak|video|literature	Other	other
işe girmek	VERB	64	meb|saha|video|literature	Work & Economy	occupations
pastel boya	NOUN	64	meb|saha|tubitak|video|literature	Space, Shapes & Properties	colors
tersine dönmek	VERB	64	meb|tubitak|video|literature	Other	other
yanı başı	NOUN	64	meb|saha|tubitak|video|literature	Other	other
aile bütçesi	NOUN	63	meb|saha|tubitak|literature	Work & Economy	financial concepts
akılda kalmak	VERB	63	saha|meb|video|tubitak|literature	Education & Language	idioms
i̇lgi göstermek	VERB	63	saha|meb|video|tubitak|literature	Education & Language	idioms
millî bayram	NOUN	63	meb|saha|tubitak|literature	History, Politics & Religion	national holidays
sosyal bilim	NOUN	63	meb|tubitak|video|literature	Education & Language	school
temin etmek	VERB	63	meb|tubitak|video|literature	Other	other
boşa gitmek	VERB	62	meb|video|literature	Other	other
el sanatları	NOUN	62	meb|saha|tubitak|literature	Arts, Media & Entertainment	handicrafts
esir almak	VERB	62	tubitak|video|literature	Personality, Values & Behavior	bullying
ev yapımı	NOUN	62	saha|meb|video|tubitak|literature	Other	other
ıslık çalmak	VERB	62	meb|tubitak|video|literature	Other	other
kahvaltı etmek	VERB	62	meb|saha|tubitak|video|literature	Home & Domestic Life	daytime routines
mezun olmak	VERB	62	meb|saha|tubitak|video|literature	Education & Language	school
el sıkmak	VERB	61	meb|tubitak|video|literature	People & Relationships	friendship
güneş gözlüğü	NOUN	61	meb|saha|tubitak|video|literature	Personal Care & Consumer Life	accessories
hakkından gelmek	VERB	61	video|literature	Education & Language	idioms
hayatını yaşamak	VERB	61	meb|saha|tubitak|video|literature	Other	other
intikam almak	VERB	61	video|literature	Violence & Conflict	violence
kolaçan etmek	VERB	61	tubitak|video|literature	Other	other
oyun almak	VERB	61	meb|tubitak|video|literature	Other	other
sinir bozukluğu	NOUN	61	saha|tubitak|video|literature	Health & Medicine	diseases
taş atmak	VERB	61	meb|tubitak|video|literature	Other	other
gününü göstermek	VERB	60	meb|tubitak|video|literature	Personality, Values & Behavior	bullying
iş birliği yapmak	VERB	60	meb|tubitak|video|literature	People & Relationships	sharing
kara gün	NOUN	60	meb|tubitak|video|literature	Other	other
pat diye	NA	60	meb|video|literature	Sound & Communication Phenomena	sounds
su çekmek	VERB	60	meb|saha|tubitak|video|literature	Other	other
sefere çıkmak	VERB	59	meb|tubitak|video|literature	History, Politics & Religion	historical events
çocuk oyuncağı	NOUN	58	meb|tubitak|video|literature	Other	other
çocuk yapmak	VERB	58	meb|tubitak|video|literature	People & Relationships	kinship
dağ başı	NOUN	58	meb|saha|tubitak|video|literature	Earth, Geography & Natural Phenomena	geographical features
inat etmek	VERB	58	video|literature	Other	other
kendini bulmak	VERB	58	meb|tubitak|video|literature	Personality, Values & Behavior	self discipline
kurban olmak	VERB	58	meb|video|literature	Other	other
motorlu taşıt	NOUN	58	meb|literature	Transportation, Travel & Safety	vehicles
peşinde olmak	VERB	58	tubitak|video|literature	Other	other
rahatsız olmak	VERB	58	meb|saha|tubitak|video|literature	Other	other
yoluna koymak	VERB	58	meb|tubitak|video|literature	Other	other
çözüm üretmek	VERB	57	saha|meb|video|tubitak|literature	Emotions & Mental Processes	intelligence and reasoning
ders programı	NOUN	57	meb|tubitak|video|literature	Education & Language	school
kedi gibi	NOUN	57	meb|tubitak|video|literature	Personality, Values & Behavior	temperament
kılığına girmek	VERB	57	tubitak|video|literature	Other	other
rahat vermemek	VERB	57	meb|video|literature	Personality, Values & Behavior	bullying
göbek atmak	VERB	56	video|literature	Arts, Media & Entertainment	dance
oyundan çıkmak	VERB	56	tubitak|meb|video|literature	Education & Language	idioms
şans vermek	VERB	56	tubitak|meb|video|literature	Education & Language	idioms
trafik ışığı	NOUN	56	tubitak|meb|video|literature	Transportation, Travel & Safety	traffic rules
ufak tefek	NOUN	56	meb|tubitak|video|literature	Other	other
zorluk çekmek	VERB	56	saha|meb|video|tubitak|literature	Education & Language	idioms
acı çekmek	VERB	55	meb|tubitak|video|literature	Emotions & Mental Processes	emotions
anlaşma yapmak	VERB	55	tubitak|meb|video|literature	Other	other
bal gibi	NA	55	meb|saha|tubitak|video|literature	Other	other
başı dertte olmak	VERB	55	tubitak|video|literature	Education & Language	idioms
dik açı	NOUN	55	meb|tubitak|video|literature	Space, Shapes & Properties	geometrical shapes
evin yolunu tutmak	VERB	55	meb|video|literature	Education & Language	idioms
iş bilmek	VERB	55	meb|saha|video|literature	Personality, Values & Behavior	diligence
masal okumak	VERB	55	meb|tubitak|video|literature	Other	other
mesaj atmak	VERB	55	meb|saha|tubitak|video|literature	Science & Technology	telephone
ses vermek	VERB	55	meb|saha|tubitak|video|literature	Other	other
tam sayı	NOUN	55	tubitak|video	Time, Numbers & Measurement	numbers
tek sıra	NOUN	55	tubitak|meb|video|literature	Education & Language	idioms
uzak kalmak	VERB	55	meb|tubitak|video|literature	Other	other
zaman kazanmak	VERB	55	meb|tubitak|video|literature	Time, Numbers & Measurement	time
çıt çıkarmamak	VERB	54	meb|video|literature	Sound & Communication Phenomena	sounds
göz yummak	VERB	54	meb|tubitak|video|literature	Other	other
hâkim olmak	VERB	54	meb|tubitak|video|literature	Personality, Values & Behavior	self discipline
hicret etmek	VERB	54	meb|video|literature	History, Politics & Religion	migration
iç organlar	NOUN	54	meb|saha|tubitak|video|literature	Health & Medicine	body
karşı karşı gelmek	VERB	54	meb|saha|tubitak|video|literature	Other	other
masa tenisi	NOUN	54	meb|saha|tubitak|video|literature	Sports, Games & Recreation	sports
öte yandan	NOUN	54	meb|tubitak|video|literature	Education & Language	grammar
oyun yapmak	VERB	54	meb|tubitak|video|literature	Other	other
puan vermek	VERB	54	meb|tubitak|video	Other	other
rahat bir nefes almak	VERB	54	video|literature	Education & Language	idioms
satranç takımı	NOUN	54	meb|tubitak|video	Arts, Media & Entertainment	hobbies
teşvik etmek	VERB	54	meb|tubitak|video|literature	Other	other
üstüne basmak	VERB	54	meb|saha|tubitak|video|literature	Other	other
aklından çıkmak	VERB	53	tubitak|meb|video|literature	Emotions & Mental Processes	intelligence and reasoning
çaba göstermek	VERB	53	meb|saha|tubitak|video|literature	Personality, Values & Behavior	diligence
hafife almak	VERB	53	tubitak|video|literature	Other	other
ilham vermek	VERB	53	meb|tubitak|video|literature	Education & Language	idioms
kara bulut	NOUN	53	meb|saha|tubitak|video|literature	Earth, Geography & Natural Phenomena	meteorology
kaşlarını çatmak	VERB	53	meb|tubitak|video|literature	Emotions & Mental Processes	emotions
kısa çizgi	NOUN	53	meb|tubitak	Education & Language	grammar
mal olmak	VERB	53	meb|tubitak|video|literature	Work & Economy	financial concepts
nefes kesmek	VERB	53	tubitak|video|literature	Education & Language	idioms
oradan buradan	NOUN	53	meb|tubitak|video|literature	Other	other
ortada kalmak	VERB	53	meb|saha|tubitak|video|literature	Other	other
tuzağa düşmek	VERB	53	tubitak|video|literature	Other	other
üstüne oturmak	VERB	53	meb|tubitak|video|literature	Other	other
el açmak	VERB	52	meb|tubitak|video|literature	Other	other
eşkenar üçgen	NOUN	52	meb|tubitak|video	Space, Shapes & Properties	geometrical shapes
fikir vermek	VERB	52	meb|tubitak|video|literature	Emotions & Mental Processes	intelligence and reasoning
geri çevirmek	VERB	52	meb|tubitak|video|literature	Other	other
hesap sormak	VERB	52	tubitak|video|literature	People & Relationships	responsibilities
hız yapmak	VERB	52	saha|meb|video|tubitak|literature	Transportation, Travel & Safety	traffic rules
meydana getirmek	VERB	52	meb|tubitak|video|literature	Other	other
aklı kalmak	VERB	51	meb|saha|tubitak|video|literature	Education & Language	idioms
arka arkaya	NOUN	51	meb|tubitak|video|literature	Other	other
baskı yapmak	VERB	51	meb|tubitak|video|literature	Personality, Values & Behavior	bullying
eş sesli	NOUN	51	meb|literature	Education & Language	grammar
geri sayım	NOUN	51	tubitak|video|literature	Other	other
güven vermek	VERB	51	meb|saha|tubitak|video|literature	Personality, Values & Behavior	honesty
halay çekmek	VERB	51	meb|saha|tubitak|video|literature	Arts, Media & Entertainment	dance
kendini kaybetmek	VERB	51	video|literature	Personality, Values & Behavior	self discipline
kutlu olsun	NA	51	meb|tubitak|video|literature	Other	other
millî marş	NOUN	51	meb|tubitak|video|literature	Places & Settlements	nations
moral vermek	VERB	51	meb|video|literature	Other	other
morali bozulmak	VERB	51	meb|tubitak|video|literature	Emotions & Mental Processes	emotions
ortak nokta	NOUN	51	saha|meb|video|tubitak|literature	Other	other
tereddüt etmek	VERB	51	meb|tubitak|video|literature	Other	other
vah vah	NOUN	51	meb|video|literature	Emotions & Mental Processes	emotions
can yakmak	VERB	50	meb|tubitak|video|literature	Violence & Conflict	violence
dâhil etmek	VERB	50	video|meb|tubitak|literature	Other	other
dümen kırmak	VERB	50	video|literature	Education & Language	idioms
fırsat bilmek	VERB	50	saha|tubitak|video|literature	Other	other
gün doğumu	NOUN	50	saha|meb|video|tubitak|literature	Earth, Geography & Natural Phenomena	natural phenomena
kamp kurmak	VERB	50	meb|tubitak|video|literature	Personal Care & Consumer Life	vacation
puan toplamak	VERB	50	meb|tubitak|video|literature	Sports, Games & Recreation	sports
tam sırası	NOUN	50	meb|tubitak|video|literature	Other	other
telafi etmek	VERB	50	saha|video|literature	Other	other
aday olmak	VERB	49	meb|tubitak|video|literature	People & Relationships	responsibilities
içine dert olmak	VERB	49	tubitak|video|literature	Emotions & Mental Processes	emotions
kafa karıştırmak	VERB	49	tubitak|saha|video|literature	Emotions & Mental Processes	intelligence and reasoning
kafaya takmak	VERB	49	saha|video|literature	Emotions & Mental Processes	emotions
kaza yapmak	VERB	49	saha|meb|video|tubitak|literature	Transportation, Travel & Safety	traffic
midesi bulanmak	VERB	49	saha|meb|video|tubitak|literature	Education & Language	idioms
oyuna çıkmak	VERB	49	meb|tubitak|video|literature	Arts, Media & Entertainment	theater
bir solukta	NOUN	48	tubitak|video|literature	Other	other
dert etmek	VERB	48	meb|tubitak|video|literature	Other	other
halk müziği	NOUN	48	meb|tubitak|video|literature	Arts, Media & Entertainment	music
hayal kırıklığına uğramak	VERB	48	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
ilham almak	VERB	48	meb|tubitak|video|literature	Other	other
meşgul etmek	VERB	48	meb|saha|tubitak|video|literature	Other	other
nefes nefese kalmak	VERB	48	meb|saha|video|literature	Other	other
puan kazandırmak	VERB	48	meb|tubitak|video|literature	Other	other
tatlı kaşığı	NOUN	48	meb|saha|tubitak|literature	Home & Domestic Life	kitchen utensils
ağır gelmek	VERB	47	meb|tubitak|video|literature	Other	other
ana baba	NOUN	47	meb|tubitak|video|literature	People & Relationships	family
ayağı tutmamak	VERB	47	saha|meb|video|tubitak|literature	Health & Medicine	diseases
ayıp etmek	VERB	47	saha|video|literature	Personality, Values & Behavior	morality
çatı katı	NOUN	47	tubitak|video|literature	Home & Domestic Life	home
elini çabuk tutmak	VERB	47	tubitak|video|literature	Education & Language	idioms
görüşme yapmak	VERB	47	meb|tubitak|video|literature	Other	other
gözlerini kaçırmak	VERB	47	meb|tubitak|video|literature	Other	other
hava taşıtı	NOUN	47	meb|tubitak|video|literature	Transportation, Travel & Safety	vehicles
Mors alfabesi	NOUN	47	meb|tubitak|video|literature	Education & Language	spelling
popüler olmak	VERB	47	tubitak|video|literature	Other	other
randevu almak	VERB	47	meb|saha|tubitak|video|literature	Other	other
rol yapmak	VERB	47	meb|tubitak|video|literature	Arts, Media & Entertainment	theater
sağa sola bakmak	VERB	47	meb|video|literature	Education & Language	idioms
sarf etmek	VERB	47	meb|tubitak|video|literature	Other	other
silip süpürmek	VERB	47	literature	Education & Language	idioms
üstüne gitmek	VERB	47	saha|tubitak|video|literature	Violence & Conflict	violence
yük olmak	VERB	47	meb|tubitak|video|literature	Education & Language	idioms
aklı fikri bir şeyde olmak	VERB	46	meb|video|literature	Emotions & Mental Processes	intelligence and reasoning
ateş açmak	VERB	46	meb|saha|literature	Violence & Conflict	violence
buz tutmak	VERB	46	meb|tubitak|video|literature	Earth, Geography & Natural Phenomena	natural phenomena
can dostu	NOUN	46	tubitak|video|literature	People & Relationships	friendship
can kulağıyla dinlemek	NOUN	46	meb|video|literature	Education & Language	idioms
can olmak	VERB	46	meb|saha|tubitak|video|literature	Other	other
dile gelmek	VERB	46	meb|saha|tubitak|video|literature	Other	other
ev halkı	NOUN	46	meb|saha|tubitak|video|literature	People & Relationships	kinship
yaya kaldırımı	NOUN	46	meb|video|literature	Transportation, Travel & Safety	traffic
yerle bir etmek	VERB	46	meb|saha|tubitak|video|literature	Violence & Conflict	violence
aklından geçmek	VERB	45	meb|saha|video|literature	Emotions & Mental Processes	intelligence and reasoning
aşı olmak	VERB	45	meb|tubitak|video|literature	Health & Medicine	medicine
ders çıkarmak	VERB	45	saha|meb|video|tubitak|literature	Education & Language	idioms
empati kurmak	VERB	45	saha|meb|video|tubitak|literature	Emotions & Mental Processes	emotions
eyvahlar olsun	NA	45	video|literature	Other	other
göz gezdirmek	VERB	45	meb|tubitak|video|literature	Education & Language	idioms
göze girmek	VERB	45	meb|saha|tubitak|video|literature	Education & Language	idioms
haber yapmak	VERB	45	meb|tubitak|video|literature	Other	other
hayata geçirmek	VERB	45	meb|tubitak|video|literature	Other	other
içli köfte	NOUN	45	saha|video|literature	Food & Nutrition	dishes
öz bakım	NOUN	45	meb|saha	Personal Care & Consumer Life	personal care and hygiene
sesini kesmek	VERB	45	meb|saha|tubitak|video|literature	Other	other
sokak köpeği	NOUN	45	tubitak|meb|video|literature	Nature & Living Things	animals
yemek masası	NOUN	45	meb|saha|tubitak|video|literature	Home & Domestic Life	kitchen utensils
yön vermek	VERB	45	meb|tubitak|video|literature	Education & Language	idioms
ayak uydurmak	VERB	44	meb|tubitak|video|literature	Education & Language	idioms
bağlı kalmak	VERB	44	tubitak|meb|video|literature	Personality, Values & Behavior	loyalty
beyaz eşya	NOUN	44	meb|saha|tubitak|video	Home & Domestic Life	home appliances
bitiş çizgisi	NOUN	44	meb|tubitak|video|literature	Sports, Games & Recreation	sports
can alıcı	NOUNJ	44	tubitak|video|literature	Other	other
ceza almak	VERB	44	meb|saha|video|literature	People & Relationships	responsibilities
ispat etmek	VERB	44	tubitak|video|literature	Other	other
iz sürmek	VERB	44	tubitak|video|literature	Other	other
ışık tutmak	VERB	44	meb|tubitak|video|literature	Education & Language	idioms
kilo almak	VERB	44	meb|saha|tubitak|video|literature	Health & Medicine	body
mücadele vermek	VERB	44	meb|tubitak|video|literature	Other	other
röportaj yapmak	VERB	44	meb|tubitak|video|literature	Literature & Publishing	language and literature
sokak kedisi	NOUN	44	tubitak|meb|video|literature	Nature & Living Things	animals
takdim etmek	VERB	44	video|literature	Other	other
tatlı dil	NOUN	44	meb|tubitak|video|literature	Personality, Values & Behavior	behavior
toplu taşıma	NOUN	44	meb|saha|tubitak|video|literature	Transportation, Travel & Safety	vehicles
yağlı güreş	NOUN	44	meb|saha	Sports, Games & Recreation	sports
aklı çıkmak	VERB	43	meb|tubitak|video|literature	Education & Language	idioms
çarpım tablosu	NOUN	43	meb|tubitak|literature	Time, Numbers & Measurement	numbers
geri durmak	VERB	43	meb|tubitak|video|literature	Personality, Values & Behavior	self discipline
haber göndermek	VERB	43	meb|tubitak|video|literature	Other	other
iş açmak	VERB	43	tubitak|video|literature	Other	other
mesaj vermek	VERB	43	meb|tubitak|video|literature	Other	other
meşgul olmak	VERB	43	meb|tubitak|video|literature	Other	other
öne almak	VERB	43	meb|saha|tubitak|video|literature	Other	other
rol almak	VERB	43	meb|tubitak|video|literature	Arts, Media & Entertainment	theater
servis etmek	VERB	43	meb|saha|tubitak|video|literature	Other	other
tekme atmak	VERB	43	meb|saha|tubitak|video|literature	Violence & Conflict	violence
yüzüne vurmak	VERB	43	meb|saha|video|literature	Violence & Conflict	violence
beyaz peynir	NOUN	42	meb|tubitak|video|literature	Food & Nutrition	dishes
elinde kalmak	VERB	42	meb|tubitak|video|literature	Other	other
fikir almak	VERB	42	meb|saha|tubitak|video|literature	Other	other
iş vermek	VERB	42	meb|saha|tubitak|video|literature	Other	other
kuyruk sallamak	VERB	42	meb|tubitak|video|literature	Education & Language	idioms
öne sürmek	VERB	42	meb|tubitak|literature	Education & Language	idioms
rüyasına girmek	VERB	42	tubitak|video|literature	Other	other
sıvı sabun	NOUN	42	meb|saha|tubitak|video|literature	Personal Care & Consumer Life	hygiene products
üstü kalsın	NA	42	meb|saha|tubitak|video|literature	Work & Economy	financial concepts
uygun görmek	VERB	42	meb|tubitak|video|literature	Other	other
yasak olmak	VERB	42	meb|saha|tubitak|video|literature	Personality, Values & Behavior	morality
canı çekmek	VERB	41	meb|saha|video|literature	Education & Language	idioms
erkek olmak	VERB	41	meb|saha|tubitak|video|literature	Other	other
güçlük çekmek	VERB	41	meb|tubitak|video|literature	Education & Language	idioms
güneş saati	NOUN	41	meb|tubitak|video|literature	Time, Numbers & Measurement	calendar
hasta etmek	VERB	41	meb|saha|tubitak|video|literature	Health & Medicine	diseases
kafa kafaya vermek	VERB	41	meb|saha|tubitak|video|literature	Education & Language	idioms
öncelik vermek	VERB	41	saha|meb|video|tubitak|literature	Other	other
sonuç vermek	VERB	41	meb|tubitak|video|literature	Other	other
tek sıra olmak	VERB	41	meb|tubitak|video|literature	Other	other
yerli malı	NOUN	41	meb|saha|video|literature	Places & Settlements	countries
yolunu tutmak	VERB	41	meb|tubitak|video|literature	Education & Language	idioms
yosun tutmak	VERB	41	meb|saha|tubitak|video|literature	Nature & Living Things	plants
aklı takılmak	VERB	40	meb|tubitak|video|literature	Education & Language	idioms
Allah akıl fikir versin	INTJ	40	meb|video|literature	History, Politics & Religion	religion
Allah korusun	NA	40	saha|meb|video|literature	Education & Language	idioms
çaba harcamak	VERB	40	meb|tubitak|video|literature	Personality, Values & Behavior	diligence
cesaretini toplamak	VERB	40	meb|tubitak|video|literature	Education & Language	idioms
dili tutulmak	VERB	40	meb|video|literature	Education & Language	idioms
dilini yutmak	VERB	40	meb|video|literature	Education & Language	idioms
diş doktoru	NOUN	40	meb|saha|tubitak|video|literature	Work & Economy	occupations
hücum etmek	VERB	40	meb|tubitak|video|literature	Violence & Conflict	violence
moralini bozmak	VERB	40	meb|saha|video|literature	Other	other
sıkıntı çekmek	VERB	40	meb|tubitak|video|literature	Education & Language	idioms
tedirgin etmek	VERB	40	meb|tubitak|video|literature	Other	other
uğurlar olsun	NA	40	meb|video|literature	Other	other
zevk almak	VERB	40	meb|saha|tubitak|video|literature	Emotions & Mental Processes	emotions
ana düşünce	NOUN	39	meb|literature	Literature & Publishing	language and literature
boyun eğmek	VERB	39	meb|tubitak|video|literature	Education & Language	idioms
çıt çıkmamak	VERB	39	meb|video|literature	Other	other
fazla kaçırmak	VERB	39	meb|tubitak|video	Personality, Values & Behavior	self discipline
gıcık olmak	VERB	39	video|literature	Other	other
göz dikmek	VERB	39	meb|tubitak|video|literature	Education & Language	idioms
huzur vermek	VERB	39	meb|saha|tubitak|video|literature	Education & Language	idioms
kapı aralamak	VERB	39	tubitak|video|literature	Education & Language	idioms
kayda geçmek	VERB	39	tubitak|meb|video|literature	Education & Language	idioms
kıpkırmızı olmak	VERB	39	video|literature	Emotions & Mental Processes	emotions
rıza göstermek	VERB	39	tubitak|video|literature	Other	other
sağa sola bakmadan	NOUN	39	meb|saha|tubitak|video|literature	Other	other
Türk Cumhuriyetleri	PROPN	39	meb|literature	Places & Settlements	countries
alfabetik sıralama	NOUN	38	meb|tubitak|video|literature	Education & Language	grammar
anahtar sözcük	NOUN	38	meb|tubitak|video	Education & Language	grammar
ayakta tutmak	VERB	38	meb|saha|tubitak|video|literature	Other	other
çiçek gibi	NA	38	meb|tubitak|video|literature	Other	other
doğum günü	NOUN	38	meb|saha|tubitak|video|literature	History, Politics & Religion	special days
duyum almak	VERB	38	saha|tubitak|video|literature	Other	other
el çekmek	VERB	38	meb|tubitak|video|literature	Education & Language	idioms
fazla gelmek	VERB	38	meb|saha|tubitak|video|literature	Other	other
hayatını kaybetmek	VERB	38	tubitak|meb|video|literature	Education & Language	idioms
hüküm sürmek	VERB	38	meb|tubitak|video|literature	Other	other
kâğıt para	NOUN	38	meb|saha|tubitak|video|literature	Work & Economy	financial concepts
kırmızı kart	NOUN	38	tubitak|video|literature	Sports, Games & Recreation	sports
köşeyi dönmek	VERB	38	tubitak|video|literature	Education & Language	idioms
sanal gerçeklik	NOUN	38	meb|tubitak|video	Science & Technology	information technologies
şifa vermek	VERB	38	meb|video|literature	Other	other
sorun çıkarmak	VERB	38	meb|tubitak|video|literature	Personality, Values & Behavior	bullying
suç işlemek	VERB	38	meb|saha|tubitak|video|literature	Personality, Values & Behavior	morality
uyku saati	NOUN	38	meb|tubitak|video|literature	Home & Domestic Life	night routine
uzay boşluğu	NOUN	38	saha|tubitak|video|literature	Space, Shapes & Properties	space
yarı yolda bırakmak	VERB	38	meb|saha|tubitak|video|literature	Education & Language	idioms
zahmet etmek	VERB	38	saha|video|literature	Other	other
can gelmek	VERB	37	video|literature	Education & Language	idioms
cins isim	NOUN	37	meb	Education & Language	grammar
hedef olmak	VERB	37	meb|tubitak|video|literature	Other	other
iş çevirmek	VERB	37	meb|tubitak|video|literature	Education & Language	idioms
kitap fuarı	NOUN	37	meb|tubitak|video|literature	Places & Settlements	places
kulağı çınlasınmak	VERB	37	tubitak|video|literature	Education & Language	fixed expressions
laf atmak	VERB	37	tubitak|video|literature	Education & Language	idioms
nefes kesici	NOUNJ	37	tubitak|video|literature	Emotions & Mental Processes	emotions
öncülük etmek	VERB	37	meb|tubitak|video|literature	Other	other
sonuç almak	VERB	37	meb|tubitak|video|literature	Other	other
su gibi akmak	VERB	37	meb|saha|tubitak|video|literature	Education & Language	idioms
yalan atmak	VERB	37	saha|video|literature	Education & Language	idioms
yemek vermek	VERB	37	meb|saha|tubitak|video|literature	People & Relationships	sharing
aklı başına gelmek	VERB	36	meb|saha|tubitak|video|literature	Education & Language	idioms
Allah bilir	NA	36	meb|video|literature	Education & Language	idioms
bisiklet yolu	NOUN	36	meb|tubitak|video|literature	Transportation, Travel & Safety	traffic
haklı çıkmak	VERB	36	tubitak|video|literature	Education & Language	idioms
inkâr etmek	VERB	36	video|literature	Personality, Values & Behavior	behavior
karşı karşıya kalmak	VERB	36	meb|saha|tubitak|video|literature	Other	other
konser vermek	VERB	36	meb|tubitak|video|literature	Arts, Media & Entertainment	music
memnun etmek	VERB	36	meb|tubitak|video|literature	Other	other
oralı olmamak	VERB	36	meb|literature	Education & Language	idioms
söz konusu olmak	VERB	36	meb|saha|tubitak|video|literature	Other	other
telaffuz etmek	VERB	36	meb|tubitak|video|literature	Education & Language	grammar
bağrına basmak	VERB	35	meb|video|literature	Personality, Values & Behavior	love
bilişim teknolojisi	NOUN	35	meb|tubitak	Science & Technology	information technologies
bulaşık deterjanı	NOUN	35	meb|tubitak|video|literature	Personal Care & Consumer Life	hygiene products
elektronik posta	NOUN	35	meb|tubitak|video|literature	Science & Technology	computer
gaza gelmek	VERB	35	video|literature	Emotions & Mental Processes	emotions
haklı olmak	VERB	35	meb|tubitak|video|literature	Personality, Values & Behavior	morality
hava yastığı	NOUN	35	tubitak|video|literature	Transportation, Travel & Safety	vehicles
hayal olmak	VERB	35	meb|saha|tubitak|video|literature	Other	other
kafa yormak	VERB	35	saha|tubitak|video|literature	Emotions & Mental Processes	intelligence and reasoning
kayda geçirmek	VERB	35	meb|tubitak|video|literature	Other	other
keyfi yerine gelmek	VERB	35	meb|saha|tubitak|video|literature	Education & Language	idioms
manevra yapmak	VERB	35	meb|tubitak|video|literature	Other	other
sonuç çıkarmak	VERB	35	meb|tubitak|video|literature	Emotions & Mental Processes	intelligence and reasoning
Taş Devri	PROPN	35	meb|tubitak|video|literature	History, Politics & Religion	historical events
uyku çekmek	VERB	35	tubitak|video|literature	Education & Language	idioms
zorunlu olarak	NOUN	35	meb|saha|tubitak|video|literature	Other	other
akıl etmek	VERB	34	tubitak|video|literature	Emotions & Mental Processes	intelligence and reasoning
çarpı işaret	NOUN	34	meb|tubitak|literature	Other	other
ceza çekmek	VERB	34	video|literature	People & Relationships	responsibilities
doğa yürüyüşü	NOUN	34	meb|saha|tubitak|literature	Personal Care & Consumer Life	vacation
eli cebine atmamak	VERB	34	video|literature	Education & Language	idioms
içi yanmak	VERB	34	meb|video|literature	Education & Language	idioms
ihanet etmek	VERB	34	meb|video|literature	Personality, Values & Behavior	morality
konuk olmak	VERB	34	tubitak|video|literature	Other	other
motive etmek	VERB	34	meb|video|literature	Other	other
müjde vermek	VERB	34	meb|tubitak|video|literature	Other	other
sağ kalmak	VERB	34	meb|saha|tubitak|video|literature	Other	other
sağlıklı yaşam	NOUN	34	meb|tubitak|video|literature	Health & Medicine	medicine
sinir etmek	VERB	34	saha|video|literature	Other	other
teslim almak	VERB	34	meb|tubitak|video|literature	Other	other
toz olmak	VERB	34	meb|saha|tubitak|video|literature	Other	other
başı derde girmek	VERB	33	meb|tubitak|video|literature	Education & Language	idioms
başını derde sokmak	VERB	33	meb|tubitak|video|literature	Education & Language	idioms
cebine atmak	VERB	33	tubitak|video|literature	Other	other
isyan etmek	VERB	33	meb|tubitak|video|literature	Emotions & Mental Processes	anger
kolları sıvamak	VERB	33	meb|saha|tubitak|video|literature	Personality, Values & Behavior	diligence
küplere binmek	VERB	33	meb|video|literature	Emotions & Mental Processes	anger
olta atmak	VERB	33	meb|video|literature	Earth, Geography & Natural Phenomena	sea
oy vermek	VERB	33	meb|video|literature	People & Relationships	responsibilities
temel haklar	NOUN	33	meb|saha|literature	Work & Economy	duties
ağzını kapamak	VERB	32	meb|tubitak|video|literature	Other	other
alet olmak	VERB	32	meb|saha|tubitak|video|literature	Other	other
bahane bulmak	VERB	32	video|literature	Other	other
birbirine girmek	VERB	32	tubitak|video|literature	Violence & Conflict	violence
duvar saati	NOUN	32	meb|tubitak|video|literature	Home & Domestic Life	home appliances
evlat edinmek	VERB	32	meb|video|literature	People & Relationships	kinship
fren yapmak	VERB	32	meb|tubitak|video|literature	Transportation, Travel & Safety	traffic
gerek görmek	VERB	32	meb|tubitak|video|literature	Other	other
geri vites	NOUN	32	tubitak|video	Transportation, Travel & Safety	vehicles
gözüne çarpmak	VERB	32	meb|tubitak|video|literature	Education & Language	idioms
hava tahmini	NOUN	32	meb|tubitak|video|literature	Earth, Geography & Natural Phenomena	meteorology
kulağına fısıldamak	VERB	32	meb|tubitak|video|literature	Other	other
kulak asmak	VERB	32	meb|video|literature	Education & Language	idioms
kulak misafiri olmak	VERB	32	meb|saha|tubitak|video|literature	Education & Language	idioms
muhtaç olmak	VERB	32	meb|saha|video|literature	Other	other
oyuna gelmek	VERB	32	meb|saha|tubitak|video|literature	Education & Language	idioms
perde arkası	NOUN	32	meb|tubitak|video|literature	Other	other
