lemma	pos	frequency	source	class	subclass
ileri varmak	VERB	1	literature	Education & Language	idioms
i̇lgi duymak	VERB	1	saha	Education & Language	idioms
i̇lgi görmek	VERB	1	saha	Education & Language	idioms
iliği kemiği donmak	VERB	1	tubitak	Education & Language	idioms
iliği kemiği ısınmak	VERB	1	tubitak	Education & Language	idioms
iliğine geçmek	VERB	1	meb	Education & Language	idioms
iliğine kadar ıslanmak	VERB	1	video	Education & Language	idioms
iliğini kemirmek	VERB	1	meb	Education & Language	idioms
iliğini kurutmak	VERB	1	video	Education & Language	idioms
ilişkiye girmek	VERB	1	tubitak	Personality, Values & Behavior	behavior
ilkel kalmak	VERB	1	tubitak	Education & Language	idioms
illallah dedirtmek	VERB	1	meb	Education & Language	idioms
illeri geri laflar etmek	VERB	1	video	Education & Language	idioms
iltica etmek	VERB	1	meb	History, Politics & Religion	immigration
imtihan vermek	VERB	1	literature	Education & Language	idioms
incik boncuk	NOUN	1	literature	Personal Care & Consumer Life	accessories
infaz etmek	VERB	1	literature	Violence & Conflict	violence
inisiyatif kullanmak	VERB	1	video	Education & Language	idioms
inisiyatifi ele almak	VERB	1	literature	Education & Language	idioms
insafına kalmak	VERB	1	literature	Education & Language	idioms
insan kuş misali	NA	1	saha	Education & Language	idioms
ipe sapa gelmemek	VERB	1	tubitak	Education & Language	idioms
ipin ucu kaçmak	VERB	1	saha	Education & Language	idioms
ipoteği çözmek	VERB	1	video	Work & Economy	financial concepts
ipotek altında tutmak	VERB	1	video	Work & Economy	financial concepts
ipten kazıktan kurtulmuş	NA	1	literature	Education & Language	idioms
ipten kuşak kuşanmak	VERB	1	tubitak	Education & Language	idioms
iş çatallanmak	VERB	1	tubitak	Education & Language	idioms
iş dayıya düştümek	VERB	1	video	Education & Language	idioms
iş inada binmek	VERB	1	saha	Education & Language	idioms
iş olsun diye	NA	1	literature	Education & Language	idioms
iş şirazesinden çıkmak	VERB	1	literature	Education & Language	idioms
işi ahbaplığa dökmek	VERB	1	video	Education & Language	idioms
işi aksi gitmek	VERB	1	video	Education & Language	idioms
işi Allah'a kalmak	VERB	1	video	Education & Language	idioms
işi azıtmak	VERB	1	literature	Education & Language	idioms
işi iş olmak	VERB	1	literature	Education & Language	idioms
işi pişirmek	VERB	1	video	Education & Language	idioms
işi resmiyete dökmek	VERB	1	video	Education & Language	idioms
işi sağlama almak	VERB	1	video	Education & Language	idioms
işi tatlıya bağlamak	VERB	1	literature	Education & Language	idioms
işin alayında olmak	VERB	1	video	Education & Language	idioms
işin içinde iş var	NA	1	video	Education & Language	idioms
işin içinden sıyrılmak	VERB	1	tubitak	Education & Language	idioms
işin kurdu olmak	VERB	1	literature	Education & Language	idioms
